"symbol","month","monthly_ret"
"AAPL",2017-07-01,0.0327037308384437
"AAPL",2017-08-01,0.102669298131591
"AAPL",2017-09-01,-0.0602439322122713
"AAPL",2017-10-01,0.0968076735118029
"AAPL",2017-11-01,0.0166233609145163
"AAPL",2017-12-01,-0.0152459137790104
"AAPL",2018-01-01,-0.0106364302854198
"AAPL",2018-02-01,0.063847595467001
"AAPL",2018-03-01,-0.0580507333333788
"AAPL",2018-04-01,-0.0150196941876004
"AAPL",2018-05-01,0.130763653204997
"AAPL",2018-06-01,-0.00941828304609416
"AAPL",2018-07-01,0.0279833215855523
"AAPL",2018-08-01,0.196226879573919
"AAPL",2018-09-01,-0.00830294490667616
"AAPL",2018-10-01,-0.0304775614219644
"AAPL",2018-11-01,-0.184044588627273
"AAPL",2018-12-01,-0.116698376773488
"AAPL",2019-01-01,0.0551540297024979
"AAPL",2019-02-01,0.0403147762356006
"AAPL",2019-03-01,0.0970257213049719
"AAPL",2019-04-01,0.0564359115184621
"AAPL",2019-05-01,-0.127572587224393
"AAPL",2019-06-01,0.130519163127753
"AAPL",2019-07-01,0.0763944788655517
"AAPL",2019-08-01,-0.0201839463409734
"AAPL",2019-09-01,0.0729615566098947
"AAPL",2019-10-01,0.110684436089745
"AAPL",2019-11-01,0.0743286939277372
"AAPL",2019-12-01,0.0987838873582199
"AAPL",2020-01-01,0.0540099308659663
"AAPL",2020-02-01,-0.116797593853061
"AAPL",2020-03-01,-0.0697614613964226
"AAPL",2020-04-01,0.155373768335344
"AAPL",2020-05-01,0.0821647911893315
"AAPL",2020-06-01,0.147386252097039
"AAPL",2020-07-01,0.165131641358883
"AAPL",2020-08-01,0.214379735478429
"AAPL",2020-09-01,-0.102526320643887
"AAPL",2020-10-01,-0.0600120636797856
"AAPL",2020-11-01,0.0936064889240613
"AAPL",2020-12-01,0.114573700461968
"AAPL",2021-01-01,-0.00550151265436449
"AAPL",2021-02-01,-0.0810852078905829
"AAPL",2021-03-01,0.00733959569494802
"AAPL",2021-04-01,0.0762178065631531
"AAPL",2021-05-01,-0.0521071485902568
"AAPL",2021-06-01,0.099109269264297
"AAPL",2021-07-01,0.0649824288858127
"AAPL",2021-08-01,0.0409296667744519
"AAPL",2021-09-01,-0.0680366311432251
"AAPL",2021-10-01,0.0586572653834474
"AAPL",2021-11-01,0.103471292952141
"AAPL",2021-12-01,0.0742286996124193
"AAPL",2022-01-01,-0.0157121610060404
"AAPL",2022-02-01,-0.0552695029727487
"AAPL",2022-03-01,0.057473387680449
"AAPL",2022-04-01,-0.0971307866364084
"AAPL",2022-05-01,-0.0558832724369058
"AAPL",2022-06-01,-0.0814296923904323
"AAPL",2022-07-01,0.188633653129514
"AAPL",2022-08-01,-0.0325518027502625
"AAPL",2022-09-01,-0.120977001175321
"AAPL",2022-10-01,0.109551372821799
"AAPL",2022-11-01,-0.0346289140824874
"AAPL",2022-12-01,-0.122272554568494
"AAPL",2023-01-01,0.110521060723713
"AAPL",2023-02-01,0.0216231930220516
"AAPL",2023-03-01,0.118648597787605
"AAPL",2023-04-01,0.0289872586793278
"AAPL",2023-05-01,0.0446134350010445
"AAPL",2023-06-01,0.0943300492000172
